iter	Passed	Remaining
1210	35565	23171
1211	35587	23137
1212	35611	23105
1213	35634	23071
1214	35656	23037
1215	35678	23003
1216	35703	22970
1217	35725	22936
1218	35747	22902
1219	35769	22869
1220	35791	22835
1221	35813	22801
1222	35836	22767
1223	35858	22733
1224	35880	22700
1225	35902	22666
1226	35923	22631
1227	35947	22598
1228	35969	22565
1229	35991	22531
1230	36015	22498
1231	36042	22468
1232	36064	22434
1233	36085	22400
1234	36119	22373
1235	36159	22350
1236	36199	22328
1237	36238	22305
1238	36278	22282
1239	36319	22260
1240	36357	22236
1241	36394	22211
1242	36424	22182
1243	36464	22160
1244	36506	22138
1245	36539	22111
1246	36563	22078
1247	36586	22045
1248	36628	22024
1249	36662	21997
1250	36700	21973
1251	36738	21949
1252	36777	21925
1253	36806	21896
1254	36828	21862
1255	36850	21828
1256	36872	21794
1257	36896	21762
1258	36919	21729
1259	36941	21696
1260	36975	21668
1261	37015	21646
1262	37038	21613
1263	37060	21579
1264	37087	21548
1265	37118	21520
1266	37140	21487
1267	37163	21453
1268	37185	21420
1269	37222	21395
1270	37252	21366
1271	37275	21333
1272	37298	21301
1273	37320	21267
1274	37342	21234
1275	37365	21201
1276	37387	21167
1277	37411	21135
1278	37454	21113
1279	37503	21095
1280	37546	21074
1281	37575	21044
1282	37600	21012
1283	37640	20989
1284	37664	20957
1285	37685	20923
1286	37709	20890
1287	37731	20857
1288	37756	20825
1289	37777	20792
1290	37812	20765
1291	37851	20742
1292	37891	20718
1293	37932	20695
1294	37976	20674
1295	38014	20649
1296	38055	20626
1297	38090	20600
1298	38113	20567
1299	38138	20535
1300	38183	20515
1301	38224	20492
1302	38266	20469
1303	38307	20446
1304	38353	20425
1305	38397	20404
1306	38437	20380
1307	38479	20357
1308	38524	20336
1309	38548	20304
1310	38579	20275
1311	38623	20253
1312	38644	20219
1313	38667	20187
1314	38700	20159
1315	38738	20134
1316	38766	20104
1317	38788	20070
1318	38810	20037
1319	38832	20004
1320	38855	19971
1321	38876	19938
1322	38901	19906
1323	38923	19873
1324	38945	19840
1325	38967	19807
1326	38989	19774
1327	39013	19741
1328	39035	19708
1329	39057	19675
1330	39078	19642
1331	39103	19610
1332	39125	19577
1333	39147	19544
1334	39169	19511
1335	39192	19478
1336	39215	19446
1337	39256	19422
1338	39280	19390
1339	39315	19364
1340	39337	19331
1341	39358	19298
1342	39380	19264
1343	39403	19232
1344	39426	19200
1345	39449	19167
1346	39477	19138
1347	39521	19115
1348	39562	19092
1349	39606	19069
1350	39644	19044
1351	39702	19028
1352	39746	19006
1353	39787	18982
1354	39829	18959
1355	39870	18935
1356	39912	18911
1357	39954	18888
1358	39998	18866
1359	40040	18842
1360	40083	18819
1361	40127	18796
1362	40169	18773
1363	40192	18740
1364	40215	18708
1365	40241	18677
1366	40263	18644
1367	40286	18612
1368	40309	18579
1369	40338	18549
1370	40362	18517
1371	40386	18485
1372	40409	18453
1373	40433	18421
1374	40456	18389
1375	40491	18362
1376	40533	18338
1377	40574	18314
1378	40613	18289
1379	40636	18257
1380	40658	18224
1381	40680	18191
1382	40703	18158
1383	40724	18126
1384	40747	18093
1385	40770	18061
1386	40792	18028
1387	40815	17996
1388	40838	17964
1389	40860	17931
1390	40883	17899
1391	40906	17867
1392	40930	17835
1393	40953	17803
1394	40976	17771
1395	40999	17739
1396	41021	17706
1397	41044	17674
1398	41069	17642
1399	41091	17610
1400	41113	17578
1401	41136	17546
1402	41184	17524
1403	41223	17499
1404	41266	17475
1405	41297	17447
1406	41338	17422
1407	41377	17397
1408	41416	17371
1409	41454	17346
1410	41497	17322
1411	41538	17297
1412	41580	17273
1413	41615	17246
1414	41637	17214
1415	41661	17182
1416	41701	17157
1417	41738	17131
1418	41777	17105
1419	41821	17082
1420	41863	17057
1421	41888	17026
1422	41911	16994
1423	41934	16962
1424	41958	16930
1425	41996	16904
1426	42020	16872
1427	42043	16840
1428	42066	16808
1429	42088	16776
1430	42112	16744
1431	42136	16713
1432	42158	16680
1433	42181	16648
1434	42204	16617
1435	42227	16585
1436	42252	16554
1437	42276	16522
1438	42303	16492
1439	42325	16460
1440	42353	16429
1441	42395	16405
1442	42420	16374
1443	42444	16342
1444	42468	16311
1445	42498	16282
1446	42521	16250
1447	42542	16217
1448	42581	16191
1449	42609	16162
1450	42632	16130
1451	42662	16101
1452	42685	16069
1453	42707	16037
1454	42730	16005
1455	42753	15973
1456	42780	15943
1457	42803	15911
1458	42826	15879
1459	42848	15847
1460	42887	15822
1461	42929	15797
1462	42971	15772
1463	43013	15748
1464	43056	15723
1465	43098	15698
1466	43139	15673
1467	43184	15649
1468	43224	15624
1469	43264	15598
1470	43307	15574
1471	43347	15548
1472	43388	15523
1473	43430	15498
1474	43472	15473
1475	43514	15448
1476	43555	15422
1477	43599	15398
1478	43622	15366
1479	43643	15334
1480	43666	15302
1481	43691	15271
1482	43713	15239
1483	43735	15207
1484	43760	15176
1485	43782	15144
1486	43805	15112
1487	43832	15082
1488	43854	15050
1489	43877	15018
1490	43900	14986
1491	43921	14954
1492	43944	14922
1493	43967	14891
1494	43990	14859
1495	44016	14829
1496	44039	14797
1497	44063	14766
1498	44085	14734
1499	44108	14702
1500	44131	14671
1501	44163	14642
1502	44201	14616
1503	44224	14584
1504	44246	14552
1505	44268	14521
1506	44291	14489
1507	44312	14457
1508	44334	14425
1509	44356	14393
1510	44379	14362
1511	44401	14330
1512	44424	14299
1513	44447	14267
1514	44473	14237
1515	44496	14206
1516	44522	14175
1517	44546	14144
1518	44588	14119
1519	44629	14093
1520	44665	14066
1521	44707	14040
1522	44745	14014
1523	44786	13988
1524	44825	13961
1525	44865	13935
1526	44904	13909
1527	44945	13883
1528	44987	13858
1529	45013	13827
1530	45036	13796
1531	45078	13770
1532	45118	13744
1533	45162	13719
1534	45201	13692
1535	45240	13666
1536	45269	13636
1537	45293	13605
1538	45316	13574
1539	45339	13542
1540	45362	13511
1541	45384	13480
1542	45407	13448
1543	45429	13417
1544	45451	13385
1545	45496	13360
1546	45526	13331
1547	45552	13300
1548	45575	13269
1549	45597	13237
1550	45619	13206
1551	45642	13175
